Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
e7b80810,caf5ffd9,0,0,0,7330d7a3,7330d7a3
485229d9,8b96e7f,4,0,0,11983af4,11983af4
91267a39,3fd8d2d5,2,0,0,918d003b,918d003b
e00f1198,20e2e2f2,0,0,0,c17d98ba,c17d98ba
6196d7bb,8eca4d81,2,0,0,b0ee67c9,b0ee67c9
e30b5b1d,a446e9d1,0,0,0,47d88f80,47d88f80
eeda4107,90496e1,0,0,0,b8621453,b8621453
d4052c70,1fcb3760,0,0,0,b4536e17,b4536e17
15fca479,4c063e2f,2,0,0,22847b75,22847b75
c0e22a51,5bc6b9ef,1,0,0,dd2f90fe,dd2f90fe
b74f56bb,92496f3,2,0,0,81054dd2,81054dd2
3f5c872b,c4bb1cac,3,0,0,c4a12f6f,c4a12f6f
e6ada7a5,1ab724bc,4,0,0,c1f87784,c1f87784
1fe4790a,5ee5f757,1,0,0,3f4d3d04,3f4d3d04
465e79d7,c9ea50f4,4,0,0,d0cba1b9,d0cba1b9
41ba9408,ef1b86ff,1,0,0,f162b408,f162b408
e10d65a2,820115ec,3,0,0,238e98a5,238e98a5
5df71ac1,a1147a75,0,0,0,bf8f51ab,bf8f51ab
de5b188a,b19a9777,1,0,0,50844e64,50844e64
ae88894,4be3e97d,1,0,0,174f0531,174f0531
635821da,1d4e1bbb,2,0,0,412e02a6,412e02a6
c95c4d71,3b46eeb9,3,0,0,c52b3154,c52b3154
2e10a6a9,f2ba8769,3,0,0,e152cb34,e152cb34
c501668d,332c6e54,1,0,0,b8ae5156,b8ae5156
ae1acd3,c76665e3,1,0,0,92cb1b16,92cb1b16
f6e33493,8be5b324,1,0,0,434bdd05,434bdd05
cfebf2a1,373400c1,1,0,0,c7a5e74b,c7a5e74b
528cbdcc,288ad1e0,0,0,0,3b98a364,3b98a364
24953de4,4db1bb9b,2,0,0,32cf3a52,32cf3a52
2f400c2d,686044b7,0,0,0,58283e34,58283e34
f21a57e3,481f5913,3,0,0,fac02493,fac02493
b2d32cbc,c6e43dd6,1,0,0,3a3c46d9,3a3c46d9
a046e747,b52500d8,3,0,0,160033b9,160033b9
c6b7002c,33c5d565,0,0,0,bb0d6bad,bb0d6bad
6a68a9c8,c3972236,2,0,0,ee895b3d,ee895b3d
49152f69,bda1caa6,0,0,0,c73c91d2,c73c91d2
60db6d11,8a866abe,0,0,0,abe66d2a,abe66d2a
cb1f9bd2,c7806ace,1,0,0,532020ff,532020ff
8b8b5f98,d265ef6c,3,0,0,1e7a5db9,1e7a5db9
89d393a0,7b8a6a5c,0,0,0,c5e4caf7,c5e4caf7
df6a27b0,2079590d,4,0,0,c064120e,c064120e
452fec49,ac92b578,3,0,0,b249a2ec,b249a2ec
32e59136,c27901be,3,0,0,b5df4bcd,b5df4bcd
d205a2c4,3f1d488,4,0,0,967c7a59,967c7a59
5ab9e607,b980bc57,3,0,0,d4baf78f,d4baf78f
ad8ea82a,e13897fc,0,0,0,4f4dbb20,4f4dbb20
f810a8f4,bf531fa6,1,0,0,77ee9a46,77ee9a46
60b05e87,d61e03f5,4,0,0,f759ba22,f759ba22
abc90b9a,c02f2390,0,0,0,2c898adc,2c898adc
ca16b462,9ecc5e22,0,0,0,29709e51,29709e51
3238baab,41da2022,3,0,0,349d6626,349d6626
a9ab8362,70e98ccf,3,0,0,db1c78ea,db1c78ea
df087e85,95087c34,2,0,0,34918adf,34918adf
42f9778c,8e664313,2,0,0,91e062c5,91e062c5
