Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
7fc00000,fe305c14,4,1,0,ffc00000,ffc00000
71dcb204,ffc00000,4,1,0,ffc00000,ffc00000
7fc00000,f9f75120,1,1,0,ffc00000,ffc00000
9d382611,ffc00000,4,0,0,7fc00000,7fc00000
2eb2c8a7,7fc00000,0,0,0,7fc00000,7fc00000
c11bae99,ffc00000,2,1,0,7fc00000,7fc00000
7fc00000,ce688d02,3,1,0,ffc00000,ffc00000
a24dc0b5,7fc00000,2,0,0,ffc00000,ffc00000
7fc00000,e66fa115,1,1,0,ffc00000,ffc00000
4c85944a,ffc00000,3,1,0,ffc00000,ffc00000
7fc00000,e7f5d091,2,1,0,ffc00000,ffc00000
ffc00000,856a6ea3,1,0,0,7fc00000,7fc00000
ffc00000,76f543ae,3,1,0,ffc00000,ffc00000
7fc00000,f2bd08e,0,0,0,7fc00000,7fc00000
7fc00000,c3e0bdbd,1,1,0,ffc00000,ffc00000
7fc00000,d83397da,2,1,0,ffc00000,ffc00000
7fc00000,ebb01774,1,1,0,ffc00000,ffc00000
26394361,7fc00000,0,0,0,7fc00000,7fc00000
221c167d,7fc00000,4,0,0,7fc00000,7fc00000
4ec82291,7fc00000,1,1,0,7fc00000,7fc00000
ffc00000,56809e5,2,0,0,ffc00000,ffc00000
ffc00000,319ddba6,0,0,0,ffc00000,ffc00000
9f65c8c6,7fc00000,1,0,0,ffc00000,ffc00000
a83dc34c,ffc00000,4,0,0,7fc00000,7fc00000
3d438a11,ffc00000,1,0,0,ffc00000,ffc00000
8c48e090,ffc00000,3,0,0,7fc00000,7fc00000
40227d46,ffc00000,1,1,0,ffc00000,ffc00000
7fc00000,d6151d6d,0,1,0,ffc00000,ffc00000
4a082ed2,ffc00000,4,1,0,ffc00000,ffc00000
a6ac76c1,ffc00000,3,0,0,7fc00000,7fc00000
ffc00000,175a79dd,3,0,0,ffc00000,ffc00000
ffc00000,467df285,0,1,0,ffc00000,ffc00000
95dee6d9,ffc00000,2,0,0,7fc00000,7fc00000
fc0b2f5f,ffc00000,4,1,0,7fc00000,7fc00000
aca5f6ec,ffc00000,3,0,0,7fc00000,7fc00000
ffc00000,a1372929,3,0,0,7fc00000,7fc00000
7fc00000,6cf3250a,0,1,0,7fc00000,7fc00000
77463930,7fc00000,1,1,0,7fc00000,7fc00000
f3fbcc03,ffc00000,2,1,0,7fc00000,7fc00000
f6c30896,ffc00000,1,1,0,7fc00000,7fc00000
ffc00000,5ad4eeea,0,1,0,ffc00000,ffc00000
ffc00000,e70057ff,4,1,0,7fc00000,7fc00000
a5857fda,7fc00000,2,0,0,ffc00000,ffc00000
98e89143,7fc00000,1,0,0,ffc00000,ffc00000
ffc00000,45b769ae,0,1,0,ffc00000,ffc00000
