Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
603d8ebb,7afcec31,3,1,0,7f800000,7f800000
796c8b3e,e6dfbc59,0,1,0,ff800000,ff800000
634a77e5,ee3a516d,4,1,0,ff800000,ff800000
ed77910c,75524aac,3,1,0,ff800000,ff800000
fa67f13b,d2150a99,1,1,0,7f800000,7f800000
f5b14f2b,4e2f2421,1,1,0,ff800000,ff800000
dd605516,7bffa56e,2,1,0,ff800000,ff800000
5a1129eb,f5854b4c,2,1,0,ff800000,ff800000
fd10320f,dc3dc66b,0,1,0,7f800000,7f800000
5d62ab60,6a1fe10a,0,1,0,7f800000,7f800000
fa2ffcf1,c9badb9d,3,1,0,7f800000,7f800000
d28457e4,f887b442,1,1,0,7f800000,7f800000
e755c7e0,694c600c,1,1,0,ff800000,ff800000
79377aa9,702281c5,1,1,0,7f800000,7f800000
53b0bd69,78e43b3a,4,1,0,7f800000,7f800000
fd21afa9,cf31bda7,4,1,0,7f800000,7f800000
d590bf7c,71f0a7a4,4,1,0,ff800000,ff800000
6446331b,e93b5ed4,3,1,0,ff800000,ff800000
ec774f67,5a02f592,2,1,0,ff800000,ff800000
ea343231,799568b4,2,1,0,ff800000,ff800000
fc6ac3c6,45de4e2a,0,1,0,ff800000,ff800000
66e5cb9b,60ceb9e9,1,1,0,7f800000,7f800000
59085c44,f390ae5f,0,1,0,ff800000,ff800000
6d3dfbdc,622032fe,4,1,0,7f800000,7f800000
7d43b54b,74a57d3c,2,1,0,7f800000,7f800000
7be04718,eaa2a522,4,1,0,ff800000,ff800000
52cad5a5,76d8826e,3,1,0,7f800000,7f800000
6f256649,f19933e0,3,1,0,ff800000,ff800000
d6da8503,f457b185,0,1,0,7f800000,7f800000
4b4ec874,7f4bf849,2,1,0,7f800000,7f800000
676882d5,f81dcaaa,1,1,0,ff800000,ff800000
fef1bdc6,57d060e5,1,1,0,ff800000,ff800000
f1f76453,f97387fa,1,1,0,7f800000,7f800000
7a5498e8,4e8d2272,1,1,0,7f800000,7f800000
d0c3eb51,f6160b1a,4,1,0,7f800000,7f800000
716568af,5cddfb65,4,1,0,7f800000,7f800000
fc3fe647,ebffec89,1,1,0,7f800000,7f800000
d522c4ba,7700a210,0,1,0,ff800000,ff800000
f7445e66,7b103736,0,1,0,ff800000,ff800000
591010ae,750e0ebe,3,1,0,7f800000,7f800000
da1199cf,ecf9c636,3,1,0,7f800000,7f800000
e48cd775,7149ae66,3,1,0,ff800000,ff800000
