Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
7fffffff,ffffffff,4,1,0,ff800000,ff800000
aaaaaaaa,aaaaaaaa,0,0,0,15e38e37,15e38e37
7fc00000,ffc00000,0,1,0,ffc00000,ffc00000
80000000,ffc00000,1,0,1,7fc00000,7fc00000
7fc00000,80000000,4,0,1,ffc00000,ffc00000
ffffffff,55555555,1,1,0,ff800000,ff800000
ffc00000,ffc00000,2,1,0,7fc00000,7fc00000
0,ffc00000,4,0,1,ffc00000,ffc00000
55555555,aaaaaaaa,2,0,0,c08e38e3,c08e38e3
ffc00000,7fffffff,3,1,0,ffc00000,ffc00000
55555555,80000000,3,0,1,80000000,80000000
55555555,aaaaaaaa,1,0,0,c08e38e2,c08e38e2
ffffffff,80000000,0,0,1,0,0
7fffffff,80000000,2,0,1,80000000,80000000
7fc00000,7fffffff,1,1,0,7fc00000,7fc00000
7fc00000,55555555,3,1,0,7fc00000,7fc00000
55555555,aaaaaaaa,1,0,0,c08e38e2,c08e38e2
ffffffff,7fc00000,4,1,0,ffc00000,ffc00000
55555555,aaaaaaaa,1,0,0,c08e38e2,c08e38e2
ffc00000,aaaaaaaa,3,0,0,7fc00000,7fc00000
80000000,ffc00000,2,0,1,7fc00000,7fc00000
ffc00000,7fc00000,2,1,0,ffc00000,ffc00000
ffffffff,7fffffff,3,1,0,ff800000,ff800000
0,7fc00000,2,0,1,7fc00000,7fc00000
ffffffff,80000000,4,0,1,0,0
ffffffff,0,0,0,1,80000000,80000000
ffc00000,7fffffff,0,1,0,ffc00000,ffc00000
ffffffff,80000000,0,0,1,0,0
ffffffff,ffc00000,0,1,0,7fc00000,7fc00000
0,ffffffff,1,0,1,80000000,80000000
ffffffff,ffc00000,1,1,0,7fc00000,7fc00000
7fc00000,ffffffff,0,1,0,ffc00000,ffc00000
7fffffff,0,2,0,1,0,0
55555555,aaaaaaaa,4,0,0,c08e38e3,c08e38e3
ffffffff,80000000,4,0,1,0,0
aaaaaaaa,aaaaaaaa,3,0,0,15e38e38,15e38e38
ffc00000,ffffffff,1,1,0,7fc00000,7fc00000
55555555,80000000,3,0,1,80000000,80000000
7fffffff,ffffffff,2,1,0,ff800000,ff800000
80000000,80000000,0,0,1,0,0
7fc00000,0,2,0,1,7fc00000,7fc00000
55555555,0,3,0,1,0,0
7fffffff,55555555,1,1,0,7f800000,7f800000
55555555,aaaaaaaa,0,0,0,c08e38e3,c08e38e3
7fffffff,80000000,4,0,1,80000000,80000000
7fc00000,55555555,4,1,0,7fc00000,7fc00000
ffc00000,7fc00000,4,1,0,ffc00000,ffc00000
ffc00000,ffc00000,4,1,0,7fc00000,7fc00000
7fffffff,0,0,0,1,0,0
ffc00000,7fffffff,4,1,0,ffc00000,ffc00000
ffffffff,7fffffff,0,1,0,ff800000,ff800000
7fffffff,ffc00000,4,1,0,ffc00000,ffc00000
