Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
9a4be133,9447025e,0,0,1,0,0
131e1dde,80c33ba5,3,0,1,80000000,80000000
84a2745d,203730b4,4,0,1,80000000,80000000
1619ee92,a4de4016,1,0,1,80000000,80000000
88c27cd3,2b21f236,2,0,1,80000000,80000000
93748abd,1a87fbae,4,0,1,80000000,80000000
89171ffe,96376891,0,0,1,0,0
8d5cb783,963a473f,2,0,1,0,0
8a0fc81a,94d4832f,1,0,1,0,0
8f0d7ccd,845b12ea,1,0,1,0,0
d039f8e,371b5f,4,0,1,0,0
8fa20d3e,9f60665,1,0,1,80000000,80000000
1fde784d,907071c5,4,0,1,80000000,80000000
82b27145,10cea1f4,2,0,1,80000000,80000000
128ce89d,1b2b9c00,4,0,1,0,0
383098a0,6132f89,3,0,1,0,0
9cafe99c,213a3ca9,3,0,1,80000000,80000000
834ceb44,98c41488,4,0,1,0,0
1efac84,8e916425,3,0,1,80000000,80000000
16942ee0,1804408f,0,0,1,0,0
b3b6d44,32fc6e39,0,0,1,0,0
4d52b75,3254f818,2,0,1,0,0
2b9dd871,832ffe9,3,0,1,0,0
10b1a108,a8a28c9,3,0,1,0,0
a9629b4c,80189578,1,0,1,0,0
82899c78,bd86b2e,3,0,1,80000000,80000000
d58b3c4,a8ef99a7,0,0,1,80000000,80000000
8366edcf,b23cd8eb,3,0,1,0,0
8879bb6b,91d7d9da,1,0,1,0,0
5d3a9e5,87456211,4,0,1,80000000,80000000
922962ac,9e59b4a8,2,0,1,0,0
22baa68b,110f5713,3,0,1,0,0
8eb9a636,83f92c37,1,0,1,0,0
201b84a1,8e8d7e86,0,0,1,80000000,80000000
2dc073a,104e5663,1,0,1,0,0
28161c,8243e55b,1,0,1,80000000,80000000
b34c42ad,81265507,2,0,1,0,0
6be3296,1d07acd0,2,0,1,0,0
847462a4,870d303d,2,0,1,0,0
1023ab48,14f6e8ec,2,0,1,0,0
afe4c2d7,8286f1d9,1,0,1,0,0
ba3ea7,3366f6d8,4,0,1,0,0
86390335,995400c2,4,0,1,0,0
893baa7e,8adc9407,1,0,1,0,0
