Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
100111001100010100000000110101,111010001110110001011001011100,11,0,0,100010000000011000100101100010,100010000000011000100101100010
1001001011110011110101101010001,101110101110100100111011011101,0,0,0,111000101101011110000111110110,111000101101011110000111110110
1010011010100011110110001100001,1001001110111000000101100110100,100,0,0,1011101101101000111000001010011,1011101101101000111000001010011
10001011111010111101100010011100,1010010000000100101011101101010,10,0,0,10011110011100000010100100001111,10011110011100000010100100001111
10001010101101010000000110110000,1000010001110101101011111100011,100,0,0,10001101100001000001101111011111,10001101100001000001101111011111
10000000000001111000011000110001,11101111110000001110001111010100,100,0,0,110000010011000011101010000010,110000010011000011101010000010
101000101100010110010110110000,1100011011100100000110111100100,1,0,0,1001100101001111011101111000000,1001100101001111011101111000000
11010101010101110100011000111000,10100101011011111100000100011101,0,0,0,111011010010011001110011110011,111011010010011001110011110011
110011100110100110001111111111,1111101010000101101000111010101,100,0,0,1110001011010101111110010100111,1110001011010101111110010100111
11011001000110111000010100100110,101111100101100001110010110011,0,0,0,11001001001101100110001011100111,11001001001101100110001011100111
10001011001100101001110001101101,100100010011010011100000100011,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10110101110000101001001000001,10101100010110100100100001011011,100,0,0,10000011100111010010101000100100,10000011100111010010101000100100
11000101101100100010011101001001,1101110100010010011110011111011,1,0,0,11110100101111110000001011101011,11110100101111110000001011101011
10111000111110001011011101101010,111011100101101110101011110001,100,0,0,10110101000100101001111110111010,10110101000100101001111110111010
10100110010110011100100111010101,10111101100000000011110101110011,1,0,0,100100010110100011001001100010,100100010110100011001001100010
10000100011010110001100100001101,10111101101011011110001010001100,1,0,0,10100111111010111111111010,10100111111010111111111010
10110100100111000110111101100010,10110110111011110110110010001101,0,0,0,101100000100100100111001010010,101100000100100100111001010010
11011000111100000011100111110001,1100010111110010111110001010011,10,0,0,11111100011010100001110100000110,11111100011010100001110100000110
10010111000111000001010110110010,10110010110111010000110010111000,1,0,0,1010100001101100011001111011,1010100001101100011001111011
11110110001110101011100010101,11000111010000111011011101100000,0,0,0,10100110100110000110011000011111,10100110100110000110011000011111
11001011110110100011001001100110,10010110111000100011010100001101,11,0,0,100011010000001100110110110110,100011010000001100110110110110
11110111011000011101000001100011,1100110100110101011011100101001,1,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10000100010000010011001111000,10111111101010011010000001001110,11,0,0,10010000101101000110110101001101,10010000101101000110110101001101
10010001111110110001011110001010,10101100100100111101011100101100,10,0,1,0,0
10011010001000100001001100011011,101100111101001001110000101010,1,0,0,10000111100110101101110100010011,10000111100110101101110100010011
11100011111100110010000111011001,11011111011100110011110010010111,100,1,0,1111111100000000000000000000000,1111111100000000000000000000000
1110001000111011011010001010111,10111110110111011011011100110100,10,0,0,11110000100010001001010110001100,11110000100010001001010110001100
1001111111011001110011101111001,111100000000000101101001010110,11,0,0,1001100011011011000111010101011,1001100011011011000111010101011
10010111010011100100010010000010,111110101100101101101000010001,100,0,0,10010110100100000001101101010110,10010110100100000001101101010110
11001010010001001010001111000,110000010000000001101000100011,100,0,0,1010000101101000001111010101,1010000101101000001111010101
1110001111100001000001100000010,1110000110111010101111011010011,10,1,0,1111111100000000000000000000000,1111111100000000000000000000000
10001010000010001110110011110111,11110110101101000001001100110011,100,0,0,1000001010000001010000111000101,1000001010000001010000111000101
1011110011111011010101001110100,1010111001010000001001001000001,100,0,0,1110110001001101000100111110011,1110110001001101000100111110011
1101111011010010101111001100011,1100001110011100100001110101001,0,1,0,1111111100000000000000000000000,1111111100000000000000000000000
10111000111110010000001000001,1111001001111101011111111001001,100,0,0,1010000111011010010001001001100,1010000111011010010001001001100
111111010010111010101011001011,11000111011100101000111100111110,0,0,0,11000111010000001111100101101010,11000111010000001111100101101010
11001011101000001111110000000011,1111110100010010001000110001101,100,1,0,11111111100000000000000000000000,11111111100000000000000000000000
1101000110100001001010011110100,1111000010001101100011011011101,100,1,0,1111111100000000000000000000000,1111111100000000000000000000000
10110010111011101000011001011000,111011110101100111110101001001,11,0,0,10101111010001111101100100001001,10101111010001111101100100001001
11101100010101001011000110010011,11011001001111000000001010101111,10,1,0,1111111100000000000000000000000,1111111100000000000000000000000
1100010101100110110000110000100,10011011100100101011000000011011,1,0,0,10111110110011011001001000000110,10111110110011011001001000000110
1000000100001101111101000010110,10000011111110001110111110000001,1,0,0,10000101000000110100000010001100,10000101000000110100000010001100
10000100010111100010111001101101,10101010011100110010001010111000,1,0,1,0,0
1100000011001101111011100010110,1001100100101000111101011100101,10,0,0,1101101100001011111010110111001,1101101100001011111010110111001
10010111010011000100101101111,10011110000001101011000111011011,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1111111100011000101101111101011,10110111111101100000100011010000,11,0,0,11111000000001101110010100101000,11111000000001101110010100101000
1010110001101010110111001100000,11100100001001000111001010000100,1,0,0,11111010111010010001011110111100,11111010111010010001011110111100
1001000110111101001101100111011,1101000101101010110001011000111,0,0,0,1110010000111011011100110100101,1110010000111011011100110100101
10001011111100011111011001000000,1110111111111011011010100100000,11,0,0,11000100011011111100101110001110,11000100011011111100101110001110
11010010101111100000000010010100,1111111100111001101110010001000,10,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10100011111111111010100111111010,11110110101101111100010101011000,10,0,0,1011011001101111000011110010111,1011011001101111000011110010111
11101101011000110010100111,1001100001110000011111101101010,0,0,0,10000100000101010101000010001,10000100000101010101000010001
11000111101010010110010100010011,10101000101001011100110110100110,10,0,0,110000110110110110110001110010,110000110110110110110001110010
0,11111111111111111111111111111111,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,11,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111111111111111111111111111,11111111111111111111111111111111,0,1,0,1111111100000000000000000000000,1111111100000000000000000000000
1111111110000000000000000000000,1010101010101010101010101010101,1,1,0,1111111110000000000000000000000,1111111110000000000000000000000
10000000000000000000000000000000,10101010101010101010101010101010,1,0,1,0,0
11111111110000000000000000000000,10101010101010101010101010101010,1,0,0,1111111110000000000000000000000,1111111110000000000000000000000
10101010101010101010101010101010,10000000000000000000000000000000,10,0,1,0,0
1010101010101010101010101010101,1111111111111111111111111111111,10,1,0,1111111100000000000000000000000,1111111100000000000000000000000
11111111110000000000000000000000,11111111111111111111111111111111,11,1,0,1111111110000000000000000000000,1111111110000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
10101010101010101010101010101010,10000000000000000000000000000000,10,0,1,0,0
1111111111111111111111111111111,11111111111111111111111111111111,100,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10000000000000000000000000000000,1010101010101010101010101010101,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
0,11111111110000000000000000000000,10,0,1,11111111110000000000000000000000,11111111110000000000000000000000
10000000000000000000000000000000,1111111111111111111111111111111,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11111111110000000000000000000000,11111111111111111111111111111111,0,1,0,1111111110000000000000000000000,1111111110000000000000000000000
10000000000000000000000000000000,1111111110000000000000000000000,100,0,1,11111111110000000000000000000000,11111111110000000000000000000000
1111111110000000000000000000000,1111111110000000000000000000000,100,1,0,1111111110000000000000000000000,1111111110000000000000000000000
0,0,11,0,1,0,0
11111111111111111111111111111111,1010101010101010101010101010101,0,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10101010101010101010101010101010,0,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000000000000000000000000000000,1111111110000000000000000000000,0,0,1,11111111110000000000000000000000,11111111110000000000000000000000
10000000000000000000000000000000,10000000000000000000000000000000,0,0,1,0,0
1111111111111111111111111111111,1111111110000000000000000000000,11,1,0,1111111110000000000000000000000,1111111110000000000000000000000
1111111111111111111111111111111,10101010101010101010101010101010,1,0,0,11101011001010101010101010101001,11101011001010101010101010101001
1111111110000000000000000000000,0,10,0,1,1111111110000000000000000000000,1111111110000000000000000000000
0,11111111110000000000000000000000,11,0,1,11111111110000000000000000000000,11111111110000000000000000000000
1111111111111111111111111111111,0,100,0,1,0,0
11111111110000000000000000000000,1111111111111111111111111111111,11,1,0,11111111110000000000000000000000,11111111110000000000000000000000
10101010101010101010101010101010,11111111111111111111111111111111,100,0,0,1101011001010101010101010101001,1101011001010101010101010101001
10101010101010101010101010101010,10000000000000000000000000000000,100,0,1,0,0
11111111111111111111111111111111,11111111111111111111111111111111,10,1,0,1111111100000000000000000000000,1111111100000000000000000000000
1010101010101010101010101010101,11111111110000000000000000000000,11,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111111111111111111111111111,1111111111111111111111111111111,10,1,0,11111111100000000000000000000000,11111111100000000000000000000000
1010101010101010101010101010101,10000000000000000000000000000000,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000000000000000000000000000000,10101010101010101010101010101010,1,0,1,0,0
10000000000000000000000000000000,10101010101010101010101010101010,11,0,1,0,0
11111111111111111111111111111111,0,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10101010101010101010101010101010,11111111111111111111111111111111,11,0,0,1101011001010101010101010101010,1101011001010101010101010101010
1111111110000000000000000000000,10000000000000000000000000000000,10,0,1,11111111110000000000000000000000,11111111110000000000000000000000
1010101010101010101010101010101,11111111110000000000000000000000,11,1,0,11111111110000000000000000000000,11111111110000000000000000000000
1111111111111111111111111111111,1111111110000000000000000000000,100,1,0,1111111110000000000000000000000,1111111110000000000000000000000
11111111110000000000000000000000,1111111110000000000000000000000,100,1,0,11111111110000000000000000000000,11111111110000000000000000000000
10101010101010101010101010101010,0,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1111111110000000000000000000000,1111111110000000000000000000000,100,1,0,1111111110000000000000000000000,1111111110000000000000000000000
0,11111111111111111111111111111111,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10101010101010101010101010101010,0,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11111111111111111111111111111111,10000000000000000000000000000000,1,0,1,0,0
0,0,11,0,1,0,0
11111111110000000000000000000000,1111111111111111111111111111111,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
1111111111111111111111111111111,0,10,0,1,0,0
1010101010101010101010101010101,11111111110000000000000000000000,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111110000000000000000000000,10101010101010101010101010101010,100,0,0,1111111110000000000000000000000,1111111110000000000000000000000
1111111110000000000000000000000,1111111110000000000000000000000,10,1,0,1111111110000000000000000000000,1111111110000000000000000000000
11111111111111111111111111111111,0,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1111111110000000000000000000000,1111111110000000000000000000000,10,1,0,1111111110000000000000000000000,1111111110000000000000000000000
0,1111111110000000000000000000000,10,0,1,1111111110000000000000000000000,1111111110000000000000000000000
11111111111111111111111111111111,0,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
