Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
0,11111111111111111111111111111111,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,11,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111111111111111111111111111,11111111111111111111111111111111,0,1,0,1111111100000000000000000000000,1111111100000000000000000000000
1111111110000000000000000000000,1010101010101010101010101010101,1,1,0,1111111110000000000000000000000,1111111110000000000000000000000
10000000000000000000000000000000,10101010101010101010101010101010,1,0,1,0,0
11111111110000000000000000000000,10101010101010101010101010101010,1,0,0,1111111110000000000000000000000,1111111110000000000000000000000
10101010101010101010101010101010,10000000000000000000000000000000,10,0,1,0,0
1010101010101010101010101010101,1111111111111111111111111111111,10,1,0,1111111100000000000000000000000,1111111100000000000000000000000
11111111110000000000000000000000,11111111111111111111111111111111,11,1,0,1111111110000000000000000000000,1111111110000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
11111111111111111111111111111111,1111111110000000000000000000000,10,1,0,11111111110000000000000000000000,11111111110000000000000000000000
10101010101010101010101010101010,10000000000000000000000000000000,10,0,1,0,0
1111111111111111111111111111111,11111111111111111111111111111111,100,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10000000000000000000000000000000,1010101010101010101010101010101,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
0,11111111110000000000000000000000,10,0,1,11111111110000000000000000000000,11111111110000000000000000000000
10000000000000000000000000000000,1111111111111111111111111111111,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11111111110000000000000000000000,11111111111111111111111111111111,0,1,0,1111111110000000000000000000000,1111111110000000000000000000000
10000000000000000000000000000000,1111111110000000000000000000000,100,0,1,11111111110000000000000000000000,11111111110000000000000000000000
1111111110000000000000000000000,1111111110000000000000000000000,100,1,0,1111111110000000000000000000000,1111111110000000000000000000000
0,0,11,0,1,0,0
11111111111111111111111111111111,1010101010101010101010101010101,0,1,0,11111111100000000000000000000000,11111111100000000000000000000000
10101010101010101010101010101010,0,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000000000000000000000000000000,1111111110000000000000000000000,0,0,1,11111111110000000000000000000000,11111111110000000000000000000000
